Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Month,Year,Date,Total CPI-Adjusted Cost (Billions of Dollars)
Midwest/Southeast/Northeast Winter Storm,Winter Storm,2014-01-05,2014-01-08,2889.9,16,January,2014,2014-01-06,2.8899
Plains Severe Weather,Severe Storm,2014-04-02,2014-04-03,1865.4,0,April,2014,2014-04-02,1.8654000000000002
Central Severe Weather,Severe Storm,2014-04-12,2014-04-13,1202.6,0,April,2014,2014-04-12,1.2026
Midwest/Southeast/Northeast Tornadoes and Flooding,Severe Storm,2014-04-27,2014-05-01,2274.3,33,April,2014,2014-04-29,2.2743
Center Severe Weather,Severe Storm,2014-05-10,2014-05-14,1108.9,0,May,2014,2014-05-12,1.1089
Rockies/Midwest/Eastern Severe Weather,Severe Storm,2014-05-18,2014-05-23,4827.2,0,May,2014,2014-05-20,4.8271999999999995
Rockies/Central Plains Severe Weather,Severe Storm,2014-06-03,2014-06-05,2495.0,2,June,2014,2014-06-04,2.495
Michigan and Northeast Flooding,Flooding,2014-08-11,2014-08-13,1341.2,2,August,2014,2014-08-12,1.3412
Rockies/Plains Severe Weather,Severe Storm,2014-09-29,2014-10-02,1820.5,0,September,2014,2014-09-30,1.8205
Western Drought,Drought,2014-01-01,2014-12-31,5255.9,0,,,2014-07-02,5.2559
"Central and Eastern Winter storm, Cold Wave",Winter Storm,2015-02-14,2015-02-20,3910.0,30,February,2015,2015-02-17,3.91
Midwest/Ohio Valley Severe Weather,Severe Storm,2015-04-07,2015-04-09,2037.9,2,April,2015,2015-04-08,2.0379
South/Southeast Severe Weather,Severe Storm,2015-04-18,2015-04-20,1682.0,0,April,2015,2015-04-19,1.682
South and Southeast Severe Weather,Severe Storm,2015-04-24,2015-04-25,1236.9,3,April,2015,2015-04-24,1.2369
Southern Plains Tornadoes,Severe Storm,2015-05-06,2015-05-10,1653.8,4,May,2015,2015-05-08,1.6538
Texas and Oklahoma Flooding and Severe Weather,Flooding,2015-05-23,2015-05-26,3325.6,31,May,2015,2015-05-24,3.3256
Central and Northeast Severe Weather,Severe Storm,2015-06-21,2015-06-25,1523.7,1,June,2015,2015-06-23,1.5237
South Carolina and East Coast Flooding,Flooding,2015-10-01,2015-10-05,2597.6,25,October,2015,2015-10-03,2.5976
Western and Alaskan Wildfires,Wildfire,2015-06-01,2015-11-30,3936.4,12,August,2015,2015-08-31,3.9364
Texas Tornadoes and Midwest Flooding,Severe Storm,2015-12-26,2015-12-29,2570.0,50,December,2015,2015-12-27,2.57
Western Drought,Drought,2015-01-01,2015-12-31,5939.9,0,,,2015-07-02,5.9399
Southeast and Eastern Tornadoes,Severe Storm,2016-02-22,2016-02-24,1362.7,10,February,2016,2016-02-23,1.3627
Texas and Louisiana Flooding,Flooding,2016-03-08,2016-03-12,3006.2,5,March,2016,2016-03-10,3.0061999999999998
Southern Severe Weather,Severe Storm,2016-03-17,2016-03-18,1573.4,1,March,2016,2016-03-17,1.5734000000000001
North Texas Hail Storm,Severe Storm,2016-03-23,2016-03-24,2684.2,0,March,2016,2016-03-23,2.6841999999999997
North/Central Texas Hail Storm,Severe Storm,2016-04-10,2016-04-12,4548.2,0,April,2016,2016-04-11,4.5482
Houston Flooding,Flooding,2016-04-17,2016-04-18,3505.6,8,April,2016,2016-04-17,3.5056
South/Southeast Tornadoes,Severe Storm,2016-04-26,2016-05-02,3112.8,6,April,2016,2016-04-29,3.1128
